embedding_id,document_id,embedding_vector,model_name,created_at
21,21,"[0.6511, 0.4781, 0.9384]",text-embedding-3-small,2026-01-01 00:21:00
22,22,"[0.4007, 0.2265, 0.9890]",text-embedding-3-small,2026-01-01 00:22:00
23,23,"[0.6630, 0.9061, 0.0262]",text-embedding-3-small,2026-01-01 00:23:00
24,24,"[0.9575, 0.0627, 0.5671]",text-embedding-3-small,2026-01-01 00:24:00
25,25,"[0.3325, 0.5851, 0.7228]",text-embedding-3-small,2026-01-01 00:25:00
26,26,"[0.2865, 0.1553, 0.6633]",text-embedding-3-small,2026-01-01 00:26:00
27,27,"[0.1431, 0.1602, 0.9279]",text-embedding-3-small,2026-01-01 00:27:00
28,28,"[0.8424, 0.5894, 0.1839]",text-embedding-3-small,2026-01-01 00:28:00
29,29,"[0.8973, 0.7667, 0.5247]",text-embedding-3-small,2026-01-01 00:29:00
30,30,"[0.0106, 0.5271, 0.2180]",text-embedding-3-small,2026-01-01 00:30:00
31,31,"[0.8240, 0.2976, 0.4835]",text-embedding-3-small,2026-01-01 00:31:00
32,32,"[0.5818, 0.2948, 0.2634]",text-embedding-3-small,2026-01-01 00:32:00
33,33,"[0.6203, 0.2865, 0.7378]",text-embedding-3-small,2026-01-01 00:33:00
34,34,"[0.7123, 0.3197, 0.7905]",text-embedding-3-small,2026-01-01 00:34:00
35,35,"[0.6878, 0.8382, 0.3881]",text-embedding-3-small,2026-01-01 00:35:00
36,36,"[0.1778, 0.4333, 0.6720]",text-embedding-3-small,2026-01-01 00:36:00
37,37,"[0.2325, 0.7376, 0.1662]",text-embedding-3-small,2026-01-01 00:37:00
38,38,"[0.0578, 0.9545, 0.4979]",text-embedding-3-small,2026-01-01 00:38:00
39,39,"[0.5055, 0.0243, 0.6759]",text-embedding-3-small,2026-01-01 00:39:00
40,40,"[0.4930, 0.0374, 0.8128]",text-embedding-3-small,2026-01-01 00:40:00
41,41,"[0.3108, 0.0271, 0.3580]",text-embedding-3-small,2026-01-01 00:41:00
42,42,"[0.8160, 0.0374, 0.3544]",text-embedding-3-small,2026-01-01 00:42:00
43,43,"[0.2628, 0.4425, 0.3813]",text-embedding-3-small,2026-01-01 00:43:00
44,44,"[0.2465, 0.7876, 0.9392]",text-embedding-3-small,2026-01-01 00:44:00
45,45,"[0.6688, 0.0671, 0.6233]",text-embedding-3-small,2026-01-01 00:45:00
46,46,"[0.3224, 0.6857, 0.2171]",text-embedding-3-small,2026-01-01 00:46:00
47,47,"[0.2116, 0.7644, 0.6710]",text-embedding-3-small,2026-01-01 00:47:00
48,48,"[0.7272, 0.0241, 0.1962]",text-embedding-3-small,2026-01-01 00:48:00
49,49,"[0.7890, 0.3526, 0.5367]",text-embedding-3-small,2026-01-01 00:49:00
50,50,"[0.1385, 0.0795, 0.1046]",text-embedding-3-small,2026-01-01 00:50:00
51,51,"[0.8544, 0.9562, 0.0597]",text-embedding-3-small,2026-01-01 00:51:00
52,52,"[0.2545, 0.6695, 0.2751]",text-embedding-3-small,2026-01-01 00:52:00
53,53,"[0.9411, 0.2073, 0.9202]",text-embedding-3-small,2026-01-01 00:53:00
54,54,"[0.5136, 0.3451, 0.3530]",text-embedding-3-small,2026-01-01 00:54:00
55,55,"[0.5660, 0.2765, 0.3194]",text-embedding-3-small,2026-01-01 00:55:00
56,56,"[0.4863, 0.0860, 0.3327]",text-embedding-3-small,2026-01-01 00:56:00
57,57,"[0.7182, 0.8710, 0.0577]",text-embedding-3-small,2026-01-01 00:57:00
58,58,"[0.3513, 0.1679, 0.7124]",text-embedding-3-small,2026-01-01 00:58:00
59,59,"[0.9754, 0.0633, 0.8636]",text-embedding-3-small,2026-01-01 00:59:00
60,60,"[0.2767, 0.2859, 0.4072]",text-embedding-3-small,2026-01-01 01:00:00
61,61,"[0.2012, 0.4249, 0.6818]",text-embedding-3-small,2026-01-01 01:01:00
62,62,"[0.7071, 0.8660, 0.3344]",text-embedding-3-small,2026-01-01 01:02:00
63,63,"[0.4733, 0.5437, 0.5919]",text-embedding-3-small,2026-01-01 01:03:00
64,64,"[0.2899, 0.0673, 0.7040]",text-embedding-3-small,2026-01-01 01:04:00
65,65,"[0.2469, 0.5937, 0.0327]",text-embedding-3-small,2026-01-01 01:05:00
66,66,"[0.6414, 0.8691, 0.0166]",text-embedding-3-small,2026-01-01 01:06:00
67,67,"[0.4035, 0.3892, 0.1062]",text-embedding-3-small,2026-01-01 01:07:00
68,68,"[0.4785, 0.2031, 0.7844]",text-embedding-3-small,2026-01-01 01:08:00
69,69,"[0.6792, 0.8909, 0.3684]",text-embedding-3-small,2026-01-01 01:09:00
70,70,"[0.0004, 0.5463, 0.7744]",text-embedding-3-small,2026-01-01 01:10:00
71,71,"[0.0612, 0.7505, 0.6859]",text-embedding-3-small,2026-01-01 01:11:00
72,72,"[0.3241, 0.7434, 0.2751]",text-embedding-3-small,2026-01-01 01:12:00
73,73,"[0.2729, 0.2806, 0.1383]",text-embedding-3-small,2026-01-01 01:13:00
74,74,"[0.8032, 0.9443, 0.3587]",text-embedding-3-small,2026-01-01 01:14:00
75,75,"[0.9633, 0.6249, 0.3516]",text-embedding-3-small,2026-01-01 01:15:00
76,76,"[0.5737, 0.2848, 0.3274]",text-embedding-3-small,2026-01-01 01:16:00
77,77,"[0.3255, 0.5458, 0.9995]",text-embedding-3-small,2026-01-01 01:17:00
78,78,"[0.0628, 0.0059, 0.8169]",text-embedding-3-small,2026-01-01 01:18:00
79,79,"[0.0694, 0.3026, 0.4834]",text-embedding-3-small,2026-01-01 01:19:00
80,80,"[0.5903, 0.5719, 0.4991]",text-embedding-3-small,2026-01-01 01:20:00
81,81,"[0.4037, 0.3633, 0.2423]",text-embedding-3-small,2026-01-01 01:21:00
82,82,"[0.2644, 0.9786, 0.2202]",text-embedding-3-small,2026-01-01 01:22:00
83,83,"[0.0763, 0.9890, 0.1021]",text-embedding-3-small,2026-01-01 01:23:00
84,84,"[0.2436, 0.6272, 0.5063]",text-embedding-3-small,2026-01-01 01:24:00
85,85,"[0.2624, 0.2538, 0.4831]",text-embedding-3-small,2026-01-01 01:25:00
86,86,"[0.3806, 0.0761, 0.6349]",text-embedding-3-small,2026-01-01 01:26:00
87,87,"[0.6396, 0.2049, 0.2399]",text-embedding-3-small,2026-01-01 01:27:00
88,88,"[0.1271, 0.6366, 0.7623]",text-embedding-3-small,2026-01-01 01:28:00
89,89,"[0.8056, 0.4885, 0.4873]",text-embedding-3-small,2026-01-01 01:29:00
90,90,"[0.8477, 0.7716, 0.9838]",text-embedding-3-small,2026-01-01 01:30:00
91,91,"[0.8698, 0.3128, 0.7484]",text-embedding-3-small,2026-01-01 01:31:00
92,92,"[0.6711, 0.4223, 0.6642]",text-embedding-3-small,2026-01-01 01:32:00
93,93,"[0.6589, 0.7621, 0.4857]",text-embedding-3-small,2026-01-01 01:33:00
94,94,"[0.5756, 0.5868, 0.4040]",text-embedding-3-small,2026-01-01 01:34:00
95,95,"[0.9707, 0.5903, 0.8778]",text-embedding-3-small,2026-01-01 01:35:00
96,96,"[0.9095, 0.7601, 0.1753]",text-embedding-3-small,2026-01-01 01:36:00
97,97,"[0.7119, 0.3970, 0.3627]",text-embedding-3-small,2026-01-01 01:37:00
98,98,"[0.0583, 0.3374, 0.2243]",text-embedding-3-small,2026-01-01 01:38:00
99,99,"[0.0878, 0.1690, 0.8859]",text-embedding-3-small,2026-01-01 01:39:00
100,100,"[0.2027, 0.2761, 0.9888]",text-embedding-3-small,2026-01-01 01:40:00
101,101,"[0.5162, 0.7299, 0.9715]",text-embedding-3-small,2026-01-01 01:41:00
102,102,"[0.5655, 0.6994, 0.5715]",text-embedding-3-small,2026-01-01 01:42:00
103,103,"[0.5181, 0.2405, 0.4306]",text-embedding-3-small,2026-01-01 01:43:00
104,104,"[0.7145, 0.3838, 0.5802]",text-embedding-3-small,2026-01-01 01:44:00
105,105,"[0.7338, 0.9112, 0.7177]",text-embedding-3-small,2026-01-01 01:45:00
106,106,"[0.9863, 0.7166, 0.2744]",text-embedding-3-small,2026-01-01 01:46:00
107,107,"[0.5635, 0.9692, 0.6505]",text-embedding-3-small,2026-01-01 01:47:00
108,108,"[0.9663, 0.7666, 0.2253]",text-embedding-3-small,2026-01-01 01:48:00
109,109,"[0.8742, 0.9162, 0.2659]",text-embedding-3-small,2026-01-01 01:49:00
110,110,"[0.0259, 0.2639, 0.5118]",text-embedding-3-small,2026-01-01 01:50:00
111,111,"[0.8493, 0.0678, 0.6014]",text-embedding-3-small,2026-01-01 01:51:00
112,112,"[0.4224, 0.1629, 0.0417]",text-embedding-3-small,2026-01-01 01:52:00
113,113,"[0.1120, 0.6197, 0.5442]",text-embedding-3-small,2026-01-01 01:53:00
114,114,"[0.3348, 0.6982, 0.6206]",text-embedding-3-small,2026-01-01 01:54:00
115,115,"[0.0274, 0.9689, 0.2473]",text-embedding-3-small,2026-01-01 01:55:00
116,116,"[0.7136, 0.1176, 0.7185]",text-embedding-3-small,2026-01-01 01:56:00
117,117,"[0.9739, 0.3720, 0.1532]",text-embedding-3-small,2026-01-01 01:57:00
118,118,"[0.8094, 0.8751, 0.6856]",text-embedding-3-small,2026-01-01 01:58:00
119,119,"[0.8893, 0.5998, 0.6444]",text-embedding-3-small,2026-01-01 01:59:00
120,120,"[0.1520, 0.4252, 0.2299]",text-embedding-3-small,2026-01-01 02:00:00
121,121,"[0.3574, 0.4921, 0.5676]",text-embedding-3-small,2026-01-01 02:01:00
122,122,"[0.6184, 0.5109, 0.1764]",text-embedding-3-small,2026-01-01 02:02:00
123,123,"[0.5230, 0.7339, 0.0123]",text-embedding-3-small,2026-01-01 02:03:00
124,124,"[0.3088, 0.8638, 0.7056]",text-embedding-3-small,2026-01-01 02:04:00
125,125,"[0.2148, 0.4420, 0.4004]",text-embedding-3-small,2026-01-01 02:05:00
126,126,"[0.7226, 0.3912, 0.0096]",text-embedding-3-small,2026-01-01 02:06:00
127,127,"[0.5985, 0.2745, 0.2421]",text-embedding-3-small,2026-01-01 02:07:00
128,128,"[0.4779, 0.4477, 0.8592]",text-embedding-3-small,2026-01-01 02:08:00
129,129,"[0.6738, 0.5571, 0.9330]",text-embedding-3-small,2026-01-01 02:09:00
130,130,"[0.2418, 0.5680, 0.3806]",text-embedding-3-small,2026-01-01 02:10:00
131,131,"[0.2189, 0.9235, 0.7057]",text-embedding-3-small,2026-01-01 02:11:00
132,132,"[0.0019, 0.7610, 0.4572]",text-embedding-3-small,2026-01-01 02:12:00
133,133,"[0.9470, 0.2509, 0.7956]",text-embedding-3-small,2026-01-01 02:13:00
134,134,"[0.6025, 0.3030, 0.9324]",text-embedding-3-small,2026-01-01 02:14:00
135,135,"[0.4953, 0.8761, 0.6455]",text-embedding-3-small,2026-01-01 02:15:00
136,136,"[0.7244, 0.8314, 0.4020]",text-embedding-3-small,2026-01-01 02:16:00
137,137,"[0.3573, 0.1862, 0.5827]",text-embedding-3-small,2026-01-01 02:17:00
138,138,"[0.7548, 0.6240, 0.3227]",text-embedding-3-small,2026-01-01 02:18:00
139,139,"[0.0944, 0.9937, 0.5351]",text-embedding-3-small,2026-01-01 02:19:00
140,140,"[0.6246, 0.5039, 0.0262]",text-embedding-3-small,2026-01-01 02:20:00
141,141,"[0.5515, 0.3492, 0.8765]",text-embedding-3-small,2026-01-01 02:21:00
142,142,"[0.4015, 0.4624, 0.4914]",text-embedding-3-small,2026-01-01 02:22:00
143,143,"[0.1291, 0.6928, 0.1519]",text-embedding-3-small,2026-01-01 02:23:00
144,144,"[0.2582, 0.8633, 0.7995]",text-embedding-3-small,2026-01-01 02:24:00
145,145,"[0.7033, 0.3940, 0.7269]",text-embedding-3-small,2026-01-01 02:25:00
146,146,"[0.7755, 0.3721, 0.0285]",text-embedding-3-small,2026-01-01 02:26:00
147,147,"[0.6643, 0.5497, 0.0221]",text-embedding-3-small,2026-01-01 02:27:00
148,148,"[0.2949, 0.8656, 0.9383]",text-embedding-3-small,2026-01-01 02:28:00
149,149,"[0.1404, 0.6659, 0.8293]",text-embedding-3-small,2026-01-01 02:29:00
150,150,"[0.5529, 0.1526, 0.5673]",text-embedding-3-small,2026-01-01 02:30:00
151,151,"[0.1362, 0.2769, 0.7312]",text-embedding-3-small,2026-01-01 02:31:00
152,152,"[0.4578, 0.0088, 0.9667]",text-embedding-3-small,2026-01-01 02:32:00
153,153,"[0.1183, 0.4523, 0.3210]",text-embedding-3-small,2026-01-01 02:33:00
154,154,"[0.8573, 0.9730, 0.9510]",text-embedding-3-small,2026-01-01 02:34:00
155,155,"[0.4679, 0.5023, 0.4397]",text-embedding-3-small,2026-01-01 02:35:00
156,156,"[0.0347, 0.7376, 0.8634]",text-embedding-3-small,2026-01-01 02:36:00
157,157,"[0.1503, 0.9171, 0.8813]",text-embedding-3-small,2026-01-01 02:37:00
158,158,"[0.0335, 0.9965, 0.8241]",text-embedding-3-small,2026-01-01 02:38:00
159,159,"[0.2693, 0.3179, 0.0188]",text-embedding-3-small,2026-01-01 02:39:00
160,160,"[0.3759, 0.1704, 0.2255]",text-embedding-3-small,2026-01-01 02:40:00
161,161,"[0.6969, 0.4575, 0.5542]",text-embedding-3-small,2026-01-01 02:41:00
162,162,"[0.8985, 0.9993, 0.6521]",text-embedding-3-small,2026-01-01 02:42:00
163,163,"[0.6046, 0.1287, 0.0714]",text-embedding-3-small,2026-01-01 02:43:00
164,164,"[0.2852, 0.4323, 0.8138]",text-embedding-3-small,2026-01-01 02:44:00
165,165,"[0.6832, 0.1322, 0.0243]",text-embedding-3-small,2026-01-01 02:45:00
166,166,"[0.6929, 0.2887, 0.9075]",text-embedding-3-small,2026-01-01 02:46:00
167,167,"[0.2377, 0.9961, 0.3282]",text-embedding-3-small,2026-01-01 02:47:00
168,168,"[0.4043, 0.8501, 0.2475]",text-embedding-3-small,2026-01-01 02:48:00
169,169,"[0.0784, 0.9054, 0.4703]",text-embedding-3-small,2026-01-01 02:49:00
170,170,"[0.1736, 0.2385, 0.2429]",text-embedding-3-small,2026-01-01 02:50:00
171,171,"[0.3918, 0.5081, 0.3571]",text-embedding-3-small,2026-01-01 02:51:00
172,172,"[0.6889, 0.9634, 0.9466]",text-embedding-3-small,2026-01-01 02:52:00
173,173,"[0.6007, 0.2180, 0.8303]",text-embedding-3-small,2026-01-01 02:53:00
174,174,"[0.7722, 0.2549, 0.4253]",text-embedding-3-small,2026-01-01 02:54:00
175,175,"[0.1804, 0.6754, 0.4223]",text-embedding-3-small,2026-01-01 02:55:00
176,176,"[0.6955, 0.8653, 0.4085]",text-embedding-3-small,2026-01-01 02:56:00
177,177,"[0.3719, 0.1596, 0.3697]",text-embedding-3-small,2026-01-01 02:57:00
178,178,"[0.9712, 0.1394, 0.0056]",text-embedding-3-small,2026-01-01 02:58:00
179,179,"[0.8829, 0.0858, 0.5130]",text-embedding-3-small,2026-01-01 02:59:00
180,180,"[0.4560, 0.4012, 0.5724]",text-embedding-3-small,2026-01-01 03:00:00
181,181,"[0.6567, 0.6850, 0.8189]",text-embedding-3-small,2026-01-01 03:01:00
182,182,"[0.8685, 0.5150, 0.0218]",text-embedding-3-small,2026-01-01 03:02:00
183,183,"[0.4878, 0.2592, 0.6468]",text-embedding-3-small,2026-01-01 03:03:00
184,184,"[0.6420, 0.5511, 0.5244]",text-embedding-3-small,2026-01-01 03:04:00
185,185,"[0.1442, 0.2992, 0.5864]",text-embedding-3-small,2026-01-01 03:05:00
186,186,"[0.5100, 0.3010, 0.3059]",text-embedding-3-small,2026-01-01 03:06:00
187,187,"[0.8847, 0.7028, 0.2178]",text-embedding-3-small,2026-01-01 03:07:00
188,188,"[0.4768, 0.5536, 0.8898]",text-embedding-3-small,2026-01-01 03:08:00
189,189,"[0.7344, 0.9638, 0.6736]",text-embedding-3-small,2026-01-01 03:09:00
190,190,"[0.4045, 0.6060, 0.4490]",text-embedding-3-small,2026-01-01 03:10:00
191,191,"[0.2100, 0.8234, 0.1412]",text-embedding-3-small,2026-01-01 03:11:00
192,192,"[0.8174, 0.3031, 0.8679]",text-embedding-3-small,2026-01-01 03:12:00
193,193,"[0.3156, 0.7807, 0.0910]",text-embedding-3-small,2026-01-01 03:13:00
194,194,"[0.8362, 0.6151, 0.6214]",text-embedding-3-small,2026-01-01 03:14:00
195,195,"[0.6320, 0.3384, 0.5123]",text-embedding-3-small,2026-01-01 03:15:00
196,196,"[0.4604, 0.3890, 0.8974]",text-embedding-3-small,2026-01-01 03:16:00
197,197,"[0.5064, 0.2588, 0.8506]",text-embedding-3-small,2026-01-01 03:17:00
198,198,"[0.2625, 0.3210, 0.2818]",text-embedding-3-small,2026-01-01 03:18:00
199,199,"[0.6820, 0.3318, 0.2217]",text-embedding-3-small,2026-01-01 03:19:00
200,200,"[0.0512, 0.5449, 0.4497]",text-embedding-3-small,2026-01-01 03:20:00
201,201,"[0.8720, 0.3109, 0.0501]",text-embedding-3-small,2026-01-01 03:21:00
202,202,"[0.0547, 0.5762, 0.6499]",text-embedding-3-small,2026-01-01 03:22:00
203,203,"[0.4647, 0.8419, 0.4842]",text-embedding-3-small,2026-01-01 03:23:00
204,204,"[0.4199, 0.1771, 0.2491]",text-embedding-3-small,2026-01-01 03:24:00
205,205,"[0.4191, 0.3038, 0.0684]",text-embedding-3-small,2026-01-01 03:25:00
206,206,"[0.4118, 0.1292, 0.6804]",text-embedding-3-small,2026-01-01 03:26:00
207,207,"[0.7842, 0.6097, 0.2043]",text-embedding-3-small,2026-01-01 03:27:00
208,208,"[0.9114, 0.6123, 0.6777]",text-embedding-3-small,2026-01-01 03:28:00
209,209,"[0.0498, 0.6468, 0.4000]",text-embedding-3-small,2026-01-01 03:29:00
210,210,"[0.7036, 0.7967, 0.6638]",text-embedding-3-small,2026-01-01 03:30:00
211,211,"[0.3462, 0.7793, 0.6072]",text-embedding-3-small,2026-01-01 03:31:00
212,212,"[0.4564, 0.1016, 0.8426]",text-embedding-3-small,2026-01-01 03:32:00
213,213,"[0.6028, 0.7093, 0.6734]",text-embedding-3-small,2026-01-01 03:33:00
214,214,"[0.9239, 0.8571, 0.0433]",text-embedding-3-small,2026-01-01 03:34:00
215,215,"[0.0931, 0.1012, 0.5468]",text-embedding-3-small,2026-01-01 03:35:00
216,216,"[0.0538, 0.7659, 0.0113]",text-embedding-3-small,2026-01-01 03:36:00
217,217,"[0.7963, 0.6077, 0.9877]",text-embedding-3-small,2026-01-01 03:37:00
218,218,"[0.8552, 0.1138, 0.4055]",text-embedding-3-small,2026-01-01 03:38:00
219,219,"[0.8363, 0.0120, 0.4319]",text-embedding-3-small,2026-01-01 03:39:00
220,220,"[0.9337, 0.0348, 0.9682]",text-embedding-3-small,2026-01-01 03:40:00
221,221,"[0.8922, 0.9858, 0.5057]",text-embedding-3-small,2026-01-01 03:41:00
222,222,"[0.7290, 0.5316, 0.3192]",text-embedding-3-small,2026-01-01 03:42:00
223,223,"[0.7067, 0.6336, 0.1791]",text-embedding-3-small,2026-01-01 03:43:00
224,224,"[0.5422, 0.6260, 0.1061]",text-embedding-3-small,2026-01-01 03:44:00
225,225,"[0.4200, 0.9593, 0.4327]",text-embedding-3-small,2026-01-01 03:45:00
226,226,"[0.4789, 0.0759, 0.8130]",text-embedding-3-small,2026-01-01 03:46:00
227,227,"[0.5710, 0.3398, 0.6997]",text-embedding-3-small,2026-01-01 03:47:00
228,228,"[0.6088, 0.5508, 0.8944]",text-embedding-3-small,2026-01-01 03:48:00
229,229,"[0.6234, 0.7980, 0.6661]",text-embedding-3-small,2026-01-01 03:49:00
230,230,"[0.1565, 0.7109, 0.9516]",text-embedding-3-small,2026-01-01 03:50:00
231,231,"[0.0774, 0.9038, 0.6750]",text-embedding-3-small,2026-01-01 03:51:00
232,232,"[0.7124, 0.8852, 0.9165]",text-embedding-3-small,2026-01-01 03:52:00
233,233,"[0.0270, 0.2434, 0.0900]",text-embedding-3-small,2026-01-01 03:53:00
234,234,"[0.6453, 0.7434, 0.8905]",text-embedding-3-small,2026-01-01 03:54:00
235,235,"[0.7740, 0.4543, 0.1621]",text-embedding-3-small,2026-01-01 03:55:00
236,236,"[0.8244, 0.2701, 0.2433]",text-embedding-3-small,2026-01-01 03:56:00
237,237,"[0.8442, 0.1301, 0.2691]",text-embedding-3-small,2026-01-01 03:57:00
238,238,"[0.2588, 0.4433, 0.3575]",text-embedding-3-small,2026-01-01 03:58:00
239,239,"[0.4861, 0.0092, 0.1777]",text-embedding-3-small,2026-01-01 03:59:00
240,240,"[0.7149, 0.6330, 0.2188]",text-embedding-3-small,2026-01-01 04:00:00
241,241,"[0.2565, 0.8804, 0.0146]",text-embedding-3-small,2026-01-01 04:01:00
242,242,"[0.6254, 0.4251, 0.1792]",text-embedding-3-small,2026-01-01 04:02:00
243,243,"[0.4883, 0.9416, 0.4195]",text-embedding-3-small,2026-01-01 04:03:00
244,244,"[0.5560, 0.6351, 0.1564]",text-embedding-3-small,2026-01-01 04:04:00
245,245,"[0.0122, 0.3097, 0.3886]",text-embedding-3-small,2026-01-01 04:05:00
246,246,"[0.3588, 0.1177, 0.0727]",text-embedding-3-small,2026-01-01 04:06:00
247,247,"[0.8068, 0.8972, 0.6045]",text-embedding-3-small,2026-01-01 04:07:00
248,248,"[0.0221, 0.1129, 0.2915]",text-embedding-3-small,2026-01-01 04:08:00
249,249,"[0.4340, 0.2198, 0.8892]",text-embedding-3-small,2026-01-01 04:09:00
250,250,"[0.8801, 0.3225, 0.9229]",text-embedding-3-small,2026-01-01 04:10:00
251,251,"[0.2446, 0.8479, 0.4440]",text-embedding-3-small,2026-01-01 04:11:00
252,252,"[0.5964, 0.2891, 0.8197]",text-embedding-3-small,2026-01-01 04:12:00
253,253,"[0.9503, 0.0204, 0.7983]",text-embedding-3-small,2026-01-01 04:13:00
254,254,"[0.7535, 0.4195, 0.5030]",text-embedding-3-small,2026-01-01 04:14:00
255,255,"[0.9863, 0.0857, 0.0895]",text-embedding-3-small,2026-01-01 04:15:00
256,256,"[0.8397, 0.6726, 0.0041]",text-embedding-3-small,2026-01-01 04:16:00
257,257,"[0.8964, 0.9450, 0.9925]",text-embedding-3-small,2026-01-01 04:17:00
258,258,"[0.5644, 0.1749, 0.0353]",text-embedding-3-small,2026-01-01 04:18:00
259,259,"[0.5306, 0.6588, 0.4615]",text-embedding-3-small,2026-01-01 04:19:00
260,260,"[0.0717, 0.0031, 0.3506]",text-embedding-3-small,2026-01-01 04:20:00
261,261,"[0.1222, 0.8585, 0.8643]",text-embedding-3-small,2026-01-01 04:21:00
262,262,"[0.2745, 0.3089, 0.9793]",text-embedding-3-small,2026-01-01 04:22:00
263,263,"[0.4304, 0.2642, 0.6403]",text-embedding-3-small,2026-01-01 04:23:00
264,264,"[0.9117, 0.1708, 0.5966]",text-embedding-3-small,2026-01-01 04:24:00
265,265,"[0.5828, 0.8659, 0.0388]",text-embedding-3-small,2026-01-01 04:25:00
266,266,"[0.1495, 0.1164, 0.6412]",text-embedding-3-small,2026-01-01 04:26:00
267,267,"[0.9586, 0.7470, 0.1718]",text-embedding-3-small,2026-01-01 04:27:00
268,268,"[0.2273, 0.6202, 0.8503]",text-embedding-3-small,2026-01-01 04:28:00
269,269,"[0.4159, 0.7209, 0.0023]",text-embedding-3-small,2026-01-01 04:29:00
270,270,"[0.9991, 0.3219, 0.1784]",text-embedding-3-small,2026-01-01 04:30:00
271,271,"[0.3915, 0.9633, 0.8087]",text-embedding-3-small,2026-01-01 04:31:00
272,272,"[0.3052, 0.7917, 0.7338]",text-embedding-3-small,2026-01-01 04:32:00
273,273,"[0.7543, 0.5488, 0.2714]",text-embedding-3-small,2026-01-01 04:33:00
274,274,"[0.0706, 0.3139, 0.0350]",text-embedding-3-small,2026-01-01 04:34:00
275,275,"[0.5031, 0.2154, 0.8310]",text-embedding-3-small,2026-01-01 04:35:00
276,276,"[0.2056, 0.5632, 0.0793]",text-embedding-3-small,2026-01-01 04:36:00
277,277,"[0.9720, 0.7783, 0.9659]",text-embedding-3-small,2026-01-01 04:37:00
278,278,"[0.2986, 0.2134, 0.3539]",text-embedding-3-small,2026-01-01 04:38:00
279,279,"[0.8607, 0.8485, 0.0009]",text-embedding-3-small,2026-01-01 04:39:00
280,280,"[0.8567, 0.9161, 0.5126]",text-embedding-3-small,2026-01-01 04:40:00
281,281,"[0.6411, 0.4394, 0.1925]",text-embedding-3-small,2026-01-01 04:41:00
282,282,"[0.5193, 0.0479, 0.5088]",text-embedding-3-small,2026-01-01 04:42:00
283,283,"[0.1556, 0.0094, 0.1715]",text-embedding-3-small,2026-01-01 04:43:00
284,284,"[0.6529, 0.0750, 0.3544]",text-embedding-3-small,2026-01-01 04:44:00
285,285,"[0.1593, 0.8283, 0.1893]",text-embedding-3-small,2026-01-01 04:45:00
286,286,"[0.3457, 0.2890, 0.9572]",text-embedding-3-small,2026-01-01 04:46:00
287,287,"[0.7877, 0.9139, 0.9993]",text-embedding-3-small,2026-01-01 04:47:00
288,288,"[0.8373, 0.8131, 0.2832]",text-embedding-3-small,2026-01-01 04:48:00
289,289,"[0.4693, 0.7172, 0.5605]",text-embedding-3-small,2026-01-01 04:49:00
290,290,"[0.6852, 0.3508, 0.2433]",text-embedding-3-small,2026-01-01 04:50:00
291,291,"[0.2905, 0.2256, 0.3020]",text-embedding-3-small,2026-01-01 04:51:00
292,292,"[0.4068, 0.3357, 0.2991]",text-embedding-3-small,2026-01-01 04:52:00
293,293,"[0.7760, 0.3698, 0.4867]",text-embedding-3-small,2026-01-01 04:53:00
294,294,"[0.9391, 0.9557, 0.6683]",text-embedding-3-small,2026-01-01 04:54:00
295,295,"[0.3581, 0.5944, 0.9021]",text-embedding-3-small,2026-01-01 04:55:00
296,296,"[0.2886, 0.0911, 0.7223]",text-embedding-3-small,2026-01-01 04:56:00
